Symbol,logFC,adj.P.Val,adj.P.Val_1_over,adj.P.Val_2_under
ACP1,-0.623898201728353,0.0111915757745853,1,0.0111915757745853
MTMR10,0.488849883532834,0.011204913848882,0.011204913848882,1
TUSC3,-0.823112901489454,0.0112049917900005,1,0.0112049917900005
ZFY,0.294590426969579,0.0112049917900005,0.0112049917900005,1
PLN,0.457007236301307,0.0112049917900005,0.0112049917900005,1
UBE3A,0.305553178031458,0.0112049917900005,0.0112049917900005,1
TNFRSF4,0.492314620178322,0.0112060621713672,0.0112060621713672,1
NBEAL1,-0.46041465176459,0.0112064194065139,1,0.0112064194065139
GNAT2,-0.436978137799144,0.0112074909843584,1,0.0112074909843584
COX4I1,0.162815173087061,0.0112104568638672,0.0112104568638672,1
C1QBP,0.198129344296934,0.0112112575503948,0.0112112575503948,1
SOBP,0.435660842411906,0.0112151792037547,0.0112151792037547,1
DDX19A,0.378901212119764,0.0112151792037547,0.0112151792037547,1
RNGTT,-0.31564897490585,0.0112197081295352,1,0.0112197081295352
PARP15,0.348132445736304,0.0112232524298895,0.0112232524298895,1
FLJ35934,-0.570929492116414,0.0112267532472539,1,0.0112267532472539
ELAVL1,0.233803816054884,0.011226799515764,0.011226799515764,1
SRRM3,0.476902591419547,0.0112449144931308,0.0112449144931308,1
LOC283177,0.466299995863756,0.0112460786901579,0.0112460786901579,1
ELL2,0.59015213133383,0.0112561634010191,0.0112561634010191,1
SCRN2,0.492727433936024,0.0112573324663163,0.0112573324663163,1
MCF2L,0.390013889331632,0.0112617285835081,0.0112617285835081,1
ZNF165,0.772071072265082,0.0112617285835081,0.0112617285835081,1
GRHPR,0.290078283536126,0.0112668986055657,0.0112668986055657,1
SH3BP5,-0.34874995349749,0.0112720579947265,1,0.0112720579947265
LOC101929607,0.324191157135973,0.0112739276580756,0.0112739276580756,1
ALDH1A3,0.449557059795469,0.0112780024612038,0.0112780024612038,1
PLSCR1,-0.257487882499685,0.0112803041971569,1,0.0112803041971569
SLF2,-0.577519267637998,0.0112803423941508,1,0.0112803423941508
ZNF503-AS2,-0.521714801797543,0.0112807619370004,1,0.0112807619370004
DNAH1,0.42843277308168,0.0112808765053728,0.0112808765053728,1
VAMP2,-0.566847547689574,0.0112808800778636,1,0.0112808800778636
TSKU,-0.363662088171804,0.011289958181707,1,0.011289958181707
SAP30L,-0.320936371712889,0.0113016596532139,1,0.0113016596532139
TFAP2A,-0.441219515487911,0.0113078510677965,1,0.0113078510677965
PECR,0.582317088250274,0.0113107980342608,0.0113107980342608,1
TCF3,0.338353340886922,0.0113120319788948,0.0113120319788948,1
UPF2,0.304724838033009,0.0113120319788948,0.0113120319788948,1
C1orf27,0.462334374771205,0.011319765332775,0.011319765332775,1
CTDSPL,0.510690645594942,0.011319765332775,0.011319765332775,1
SEC11C,0.510878553655796,0.0113234806795372,0.0113234806795372,1
SYNRG,-0.791227603036523,0.0113236646913559,1,0.0113236646913559
LSAMP,-0.426722344638891,0.0113283385684576,1,0.0113283385684576
PHF2,0.466461434588508,0.0113290579595602,0.0113290579595602,1
LATS1,-0.334576809670068,0.0113315019049255,1,0.0113315019049255
CCDC169,0.531317930720117,0.0113316743449798,0.0113316743449798,1
EMC1,0.270847977879027,0.0113450059151618,0.0113450059151618,1
CCL23,0.390713093409766,0.01134863024284,0.01134863024284,1
SYNRG,-0.37184382084596,0.01134863024284,1,0.01134863024284
C20orf181,0.4467674400033,0.0113500275992179,0.0113500275992179,1
RIBC2,0.439780941463865,0.0113690530299474,0.0113690530299474,1
ADCK1,-0.473000224391663,0.0113839706667229,1,0.0113839706667229
CRTAP,-0.279452728694855,0.0113853834308293,1,0.0113853834308293
DIS3L,0.372782848379346,0.0113862611544236,0.0113862611544236,1
SPPL2C,0.545673319750955,0.0113890147445576,0.0113890147445576,1
PINLYP,-0.505449429338356,0.0113890147445576,1,0.0113890147445576
NR2C1,-0.366049470484106,0.011392261733118,1,0.011392261733118
